ID,TAG,CATEGORY,RANKING,SIMILAR
69,Place the character walking in a dense pine forest covered in morning mist,location,850,"68,70"
70,Place the character standing on a mountain peak watching the sunrise,location,850,"69,71"
71,Place the character sitting on a gondola in Venice surrounded by canals,location,850,"70,66"
72,Change the look style of image to a realistic cinematic shot with dramatic lighting cinematic realism and moody atmosphere,cinematic,1000,"73,74"
73,Change the look style of image to Kodak 5219 film emulation with warm tone and soft highlight roll-off,cinematic,900,"72,74"
74,Change the look style of image to bleach bypass cinematic film with high contrast and desaturated tone,cinematic,850,"72,73"
75,Change the look style of image to anamorphic cinematic frame with oval bokeh and subtle chromatic aberration,cinematic,850,"76,77"
76,Change the look style of image to Fujifilm film stock with rich color analog grain and soft contrast,cinematic,850,"75,77"
77,Change the look style of image to vintage 35mm film with warm midtones and organic softness,cinematic,900,"75,76"
78,Change the look style of image to teal and orange cinematic grading with subtle bloom,cinematic,900,"79,80"
79,Change the look style of image to Polaroid instant film tone with muted highlights and pastel colors,cinematic,850,"78,80"
80,Change the look style of image to cinematic shallow depth of field with natural light falloff and bokeh,cinematic,900,"78,79"
81,Add motion blur effect to create sense of movement,effect,850,"82,83"
82,Add bokeh effect to background create depth of field,effect,900,"81,83"
83,Add glow and light rays ethereal lighting,effect,850,"81,82"
84,Add realistic reflections and mirror effects,effect,800,"85,86"
85,Enhance shadows for more dramatic depth,effect,850,"84,86"
86,Add cinematic film grain effect,effect,900,"84,85"
87,Apply vintage retro aesthetic aged photo look,effect,850,"86,88"
88,Apply tilt-shift effect miniature scene look,effect,800,"87,89"
89,Add lens flare effect for dramatic lighting,effect,850,"88,90"
90,Add vignette effect darken edges,effect,800,"89,91"
91,Transform to oil painting style,effect,850,"92,93"
92,Apply watercolor painting effect,effect,850,"91,93"
93,Transform into comic book art style,effect,900,"91,92"
94,Convert to anime/manga art style,effect,950,"93,95"
95,Make it look like a 3D rendered image,effect,900,"94,96"
96,Add neon glow effect cyberpunk aesthetic,effect,900,"95,94"
97,Camera pushes in from behind the subject,camera_movement,800,"98,99"
98,Close-up face 85 mm Alexa shallow focus,camera_movement,850,"97,99"
99,Wide-angle reveal with 24 mm anamorphic lens,camera_movement,850,"97,98"
100,Camera follows character from the back,camera_movement,800,"101,102"
101,Over-the-shoulder glide toward dialogue partner,camera_movement,850,"100,102"
102,Steadicam tracking walk full-frame Alexa,camera_movement,800,"100,101"
103,Dolly zoom revealing background compression,camera_movement,850,"104,105"
104,Natural handheld movement with film grain,camera_movement,850,"103,105"
105,Slow panoramic movement revealing details,camera_movement,800,"103,104"
106,Drone descent through morning fog,camera_movement,800,"107,108"
107,Dolly-in zoom-out Hitchcock effect,camera_movement,850,"106,108"
108,maintain pose,modifier,1000,"109,110"
109,keep face unchanged,modifier,1000,"108,110"
110,preserve the original background,modifier,950,"108,109"
111,keep the same hairstyle and expression,modifier,950,"112,113"
112,maintain head position and size,modifier,1000,"111,113"
113,preserve facial features,modifier,1000,"111,112"
114,Maintain the consistency,modifier,1000,"108,109"
115,Get the pose of image 3,modifier,900,"57,108"
116,Raw photo professional photograph,realistic,1000,"117,118"
117,Professional studio photography,realistic,950,"116,118"
118,change to real life imagery,realistic,950,"116,117"
119,best quality,quality,900,"120,30"
120,high resolution detailed,quality,900,"119,30"
